sampleTimeStamp.seconds;sampleTimeStamp.microseconds;lat;lon;speed;accel_x;accel_y;accel_z
90066565;295959;37.718943197;1.95702294;2.275998;2.941291;0.001682944;-0.09163537
90066565;345895;37.718943494;1.9570212;2.120246;3.08031;-0.08432674;-0.4834327
90066565;395874;37.71894377;1.957019582;1.970646;2.879175;-0.0789342;-0.2506675
90066565;446189;37.718944024;1.957018083;1.821283;2.914211;0.003651802;-0.1542737
90066565;495974;37.718944259;1.957016703;1.671156;3.027586;-0.08595598;-0.2744641
90066565;545883;37.718944473;1.957015442;1.52457;2.803405;0.0491953;0.08570167
90066565;595870;37.718944666;1.957014299;1.375255;3.000466;-0.04064871;-0.3036631
90066565;645931;37.718944839;1.957013272;1.23114;2.747073;0.0215991;0.2014513
90066565;695929;37.718944991;1.95701236;1.086025;2.975749;-0.01247568;-0.181909
90066565;745930;37.718945123;1.957011562;0.9444188;2.733266;0.03786379;0.09736836
90066565;795939;37.718945235;1.957010878;0.8004825;2.937245;-0.008465552;-0.3086692
90066565;845935;37.718945328;1.957010308;0.659627;2.71976;0.0008700945;0.04137554
90066565;895939;37.7189454;1.95700985;0.5172818;2.93104;0.01579027;-0.2722695
90066565;945934;37.718945453;1.957009505;0.3779517;2.695581;-0.01889569;0.05770982
90066565;995976;37.718945486;1.957009272;0.2346005;2.975365;0.02832825;-0.2887884
90066566;45935;37.718945499;1.957009156;0.0798457;3.466287;0.3745224;0.7778585
90066566;95921;37.718945491;1.957009154;0.03498987;1.510902;-0.006553691;0.1368226
90066566;145992;37.718945473;1.957009209;0.06261725;-0.1588292;-0.09310132;0.4034857
90066566;195990;37.718945457;1.957009256;0.02213712;-0.9512374;0.1124926;-0.009752044
90066566;245910;37.718945448;1.957009258;0.05978352;-0.9870145;0.1768652;0.8629632
90066566;295984;37.718945447;1.957009218;0.1271086;-1.379021;0.2676028;-0.1741428
90066566;345982;37.718945453;1.957009136;0.1606325;-0.47879;-0.07975168;-0.08135717
90066566;395973;37.718945462;1.957009035;0.1827405;-0.6223483;0.004986537;0.1475796
90066566;446247;37.718945476;1.957008914;0.2079425;-0.5667167;-0.129926;0.1570624
90066566;495984;37.718945493;1.95700877;0.2422455;-0.8036547;0.005841999;0.06622997
90066566;545926;37.718945516;1.957008595;0.282357;-0.9259987;-0.04439191;-0.03518698
90066566;595938;37.718945545;1.957008386;0.3255823;-0.8160298;0.06796182;-0.1132657
90066566;645943;37.71894558;1.957008144;0.3665435;-0.8552305;-0.03094334;-0.0586357
